District;Sex;Births;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Aniolki;females;birth;21;16;17;22;23;24;18;17;22;17
Aniolki;males;birth;27;29;33;19;25;20;25;26;25;31
Bretowo;females;birth;35;52;33;36;31;27;36;23;28;35
Bretowo;males;birth;46;51;40;44;26;31;34;46;26;40
Brzezno;females;birth;62;54;51;46;58;45;55;42;48;47
Brzezno;males;birth;64;46;58;46;53;49;48;42;44;52
Chelm;females;birth;319;329;337;308;323;298;340;296;315;348
Chelm;males;birth;339;357;339;362;366;337;327;320;317;353
Jasien;females;birth;51;53;60;67;77;109;116;166;177;213
Jasien;males;birth;51;51;81;71;97;125;144;148;194;173
Kokoszki;females;birth;54;52;65;50;67;61;62;53;58;49
Kokoszki;males;birth;59;57;53;55;50;62;58;65;62;52
Krakowiec-Gorki Zachodznie;females;birth;15;11;9;10;7;15;12;5;10;12
Krakowiec-Gorki Zachodznie;males;birth;16;9;17;18;5;8;10;6;6;11
Letnica;females;birth;4;10;7;3;4;7;7;0;8;5
Letnica;males;birth;8;8;4;5;5;6;14;7;5;6
Matarnia;females;birth;28;33;31;32;35;27;27;27;41;26
Matarnia;males;birth;34;40;36;34;24;27;31;32;22;26
Mlyniska;females;birth;10;11;17;13;10;6;13;6;11;10
Mlyniska;males;birth;12;14;13;22;10;11;12;11;13;8
Nowy Port;females;birth;50;52;51;36;38;34;48;33;34;45
Nowy Port;males;birth;60;50;63;39;44;42;50;47;47;36
Oliwa;females;birth;67;85;73;69;69;55;51;49;54;43
Oliwa;males;birth;64;74;64;74;58;63;55;67;61;62
Olszynka;females;birth;21;11;17;16;18;19;14;14;15;18
Olszynka;males;birth;19;22;15;18;19;16;7;22;6;17
Orunia-sw. Wojciech-Lipce;females;birth;77;76;78;67;66;61;74;62;63;59
Orunia-sw. Wojciech-Lipce;males;birth;87;83;89;68;82;75;63;66;83;64
Osowa;females;birth;83;84;71;74;79;58;86;66;73;77
Osowa;males;birth;82;77;67;86;94;85;94;68;71;91
Piecki - Migowo;females;birth;113;140;158;128;163;185;180;171;203;165
Piecki - Migowo;males;birth;142;140;132;158;159;178;179;166;214;199
Przerobka;females;birth;11;20;30;21;17;19;10;25;20;15
Przerobka;males;birth;27;23;21;26;24;22;18;17;17;23
Przymorze Male;females;birth;68;74;38;52;59;53;62;62;52;70
Przymorze Male;males;birth;63;60;70;53;55;57;68;70;61;60
Przymorze Wielkie;females;birth;108;103;103;108;90;94;96;89;84;89
Przymorze Wielkie;males;birth;115;132;128;95;100;100;85;98;91;85
Rudniki;females;birth;16;10;8;6;6;3;9;3;5;7
Rudniki;males;birth;6;13;8;7;6;-6;7;10;8;8
Siedlce;females;birth;61;74;68;65;57;50;55;50;51;51
Siedlce;males;birth;89;81;73;73;58;68;63;68;54;59
Stogi;females;birth;36;51;46;39;47;38;43;36;40;38
Stogi;males;birth;52;62;43;52;41;33;59;53;50;38
Strzyza;females;birth;26;23;19;23;25;17;26;25;22;19
Strzyza;males;birth;26;22;24;29;24;33;21;25;26;30
Suchanino;females;birth;47;38;43;48;35;40;49;30;38;42
Suchanino;males;birth;46;55;51;49;50;51;51;39;48;46
Srodmiescie;females;birth;135;139;128;88;127;93;109;93;103;85
Srodmiescie;males;birth;125;133;153;120;122;113;111;98;104;110
Ujescisko-Lostowice;females;birth;167;136;181;179;171;177;156;192;183;168
Ujescisko-Lostowice;males;birth;208;202;203;171;187;180;200;191;217;183
VII Dwor;females;birth;19;15;17;13;10;16;16;9;11;10
VII Dwor;males;birth;12;16;13;14;20;14;11;17;13;13
Wrzeszcz-Dolny;females;birth;105;138;102;109;95;102;109;96;104;79
Wrzeszcz-Dolny;males;birth;125;132;109;105;98;118;103;104;94;92
Wrzeszcz-Gorny;females;birth;109;115;96;96;84;96;99;99;93;98
Wrzeszcz-Gorny;males;birth;115;94;109;93;119;93;98;93;92;104
Wyspa Sobieszewska;females;birth;11;18;15;19;21;10;19;13;11;9
Wyspa Sobieszewska;males;birth;15;26;19;14;16;23;13;10;15;16
Wzgorze Mickiewicza;females;birth;10;6;12;10;9;12;4;12;5;13
Wzgorze Mickiewicza;males;birth;2;11;8;11;9;15;16;7;18;7
Zaspa Mlyniec;females;birth;56;53;60;52;51;52;51;52;40;36
Zaspa Mlyniec;males;birth;53;78;56;47;57;42;42;55;57;51
Zaspa Rozstaje;females;birth;52;52;56;49;41;46;46;58;51;57
Zaspa Rozstaje;males;birth;66;65;62;46;44;35;54;40;66;63
Zabianka-Wjehera-Jelit.Tysiac.;females;birth;41;67;59;68;63;53;45;47;54;37
Zabianka-Wjehera-Jelit.Tysiac.;males;birth;81;58;68;79;57;71;57;49;46;55
